[2026-08-22T12:36:52.834Z] [LOGGED] TO: jane.doe.1787402212685@example.cm | TYPE: application_submitted | SUBJECT: "Application Confirmation #1038 - Liah Academy"
[2026-08-22T12:36:52.854Z] [LOGGED] TO: admissions@liahacademy.org | TYPE: admin_alert | SUBJECT: "🚨 [New Application] #1038: Jane Doe - Software Engineering HND"
[2026-08-22T12:36:52.964Z] [LOGGED] TO: jane.doe.1787402212685@example.cm | TYPE: application_approved | SUBJECT: "🎉 Offer of Admission #1038 - Liah Academy"
[2026-08-22T12:36:53.044Z] [LOGGED] TO: recruiter@globaltech.com | TYPE: inquiry_submitted | SUBJECT: "Inquiry Received: Graduate Software Apprenticeship Placement - Liah Academy"
[2026-08-22T12:36:53.070Z] [LOGGED] TO: admissions@liahacademy.org | TYPE: admin_alert | SUBJECT: "📬 [Direct Inquiry] Graduate Software Apprenticeship Placement (from Tech Recruiter Global)"
[2026-08-22T12:37:41.844Z] [LOGGED] TO: student.audit.1787402261792@liahacademy.com | TYPE: application_submitted | SUBJECT: "Application Confirmation #6376 - Liah Academy"
[2026-08-22T12:37:41.878Z] [LOGGED] TO: admissions@liahacademy.org | TYPE: admin_alert | SUBJECT: "🚨 [New Application] #6376: Dr. Diagnostic Test - Software Engineering HND"
[2026-08-22T12:37:41.959Z] [LOGGED] TO: partner@techcorp.com | TYPE: inquiry_submitted | SUBJECT: "Inquiry Received: System Check Inquiry - Liah Academy"
[2026-08-22T12:37:41.988Z] [LOGGED] TO: admissions@liahacademy.org | TYPE: admin_alert | SUBJECT: "📬 [Direct Inquiry] System Check Inquiry (from Corporate Partner Audit)"
[2026-08-22T12:56:59.215Z] [LOGGED] TO: student.audit.1787403418970@liahacademy.com | TYPE: application_submitted | SUBJECT: "Application Confirmation #1956 - Liah Academy"
[2026-08-22T12:56:59.241Z] [LOGGED] TO: admissions@liahacademy.org | TYPE: admin_alert | SUBJECT: "🚨 [New Application] #1956: Dr. Diagnostic Test - Software Engineering HND"
[2026-08-22T12:56:59.321Z] [LOGGED] TO: partner@techcorp.com | TYPE: inquiry_submitted | SUBJECT: "Inquiry Received: System Check Inquiry - Liah Academy"
[2026-08-22T12:56:59.347Z] [LOGGED] TO: admissions@liahacademy.org | TYPE: admin_alert | SUBJECT: "📬 [Direct Inquiry] System Check Inquiry (from Corporate Partner Audit)"
[2026-08-22T13:06:58.202Z] [LOGGED] TO: student.audit.1787404018029@liahacademy.com | TYPE: application_submitted | SUBJECT: "Application Confirmation #9283 - Liah Academy"
[2026-08-22T13:06:58.225Z] [LOGGED] TO: admissions@liahacademy.org | TYPE: admin_alert | SUBJECT: "🚨 [New Application] #9283: Dr. Diagnostic Test - Software Engineering HND"
[2026-08-22T13:06:58.304Z] [LOGGED] TO: partner@techcorp.com | TYPE: inquiry_submitted | SUBJECT: "Inquiry Received: System Check Inquiry - Liah Academy"
[2026-08-22T13:06:58.331Z] [LOGGED] TO: admissions@liahacademy.org | TYPE: admin_alert | SUBJECT: "📬 [Direct Inquiry] System Check Inquiry (from Corporate Partner Audit)"
[2026-08-22T13:12:19.691Z] [LOGGED] TO: student.audit.1787404018029@liahacademy.com | TYPE: application_approved | SUBJECT: "🎉 Offer of Admission #9283 - Liah Academy"
[2026-08-22T13:12:44.906Z] [LOGGED] TO: student.audit.1787404018029@liahacademy.com | TYPE: application_rejected | SUBJECT: "Admission Update #9283 - Liah Academy"
[2026-08-22T13:12:47.235Z] [LOGGED] TO: student.audit.1787404018029@liahacademy.com | TYPE: application_approved | SUBJECT: "🎉 Offer of Admission #9283 - Liah Academy"
[2026-08-22T13:22:39.749Z] [LOGGED] TO: info@liahacademy.com | TYPE: custom | SUBJECT: "Admin Test Signal - Liah Academy Console"
[2026-08-22T13:22:42.024Z] [LOGGED] TO: info@liahacademy.com | TYPE: custom | SUBJECT: "Admin Test Signal - Liah Academy Console"
[2026-08-22T13:22:50.345Z] [LOGGED] TO: info@liahacademy.com | TYPE: custom | SUBJECT: "Admin Test Signal - Liah Academy Console"
[2026-08-22T13:33:31.160Z] [LOGGED] TO: student.audit.1787405610795@liahacademy.com | TYPE: application_submitted | SUBJECT: "Application Confirmation #9844 - Liah Academy"
[2026-08-22T13:33:31.195Z] [LOGGED] TO: info@liahacademy.com | TYPE: admin_alert | SUBJECT: "🚨 [New Application] #9844: Dr. Diagnostic Test - Software Engineering HND"
[2026-08-22T13:33:31.272Z] [LOGGED] TO: partner@techcorp.com | TYPE: inquiry_submitted | SUBJECT: "Inquiry Received: System Check Inquiry - Liah Academy"
[2026-08-22T13:33:31.293Z] [LOGGED] TO: info@liahacademy.com | TYPE: admin_alert | SUBJECT: "📬 [Direct Inquiry] System Check Inquiry (from Corporate Partner Audit)"
[2026-08-22T13:39:55.058Z] [LOGGED] TO: nkengsteadfast@gmail.com | TYPE: application_submitted | SUBJECT: "Application Confirmation #2651 - Liah Academy"
[2026-08-22T13:39:55.075Z] [LOGGED] TO: info@liahacademy.com | TYPE: admin_alert | SUBJECT: "🚨 [New Application] #2651: james - Software Engineering HND"
[2026-08-22T13:43:07.490Z] [LOGGED] TO: franklin.test.1787406187145@example.com | TYPE: application_submitted | SUBJECT: "Application Confirmation #4095 - Liah Academy"
[2026-08-22T13:43:07.517Z] [LOGGED] TO: info@liahacademy.com | TYPE: admin_alert | SUBJECT: "🚨 [New Application] #4095: Franklin Engo - Software Engineering HND"
[2026-08-22T13:43:23.531Z] [LOGGED] TO: student.audit.1787406203445@liahacademy.com | TYPE: application_submitted | SUBJECT: "Application Confirmation #6282 - Liah Academy"
[2026-08-22T13:43:23.573Z] [LOGGED] TO: info@liahacademy.com | TYPE: admin_alert | SUBJECT: "🚨 [New Application] #6282: Dr. Diagnostic Test - Software Engineering HND"
[2026-08-22T13:43:23.664Z] [LOGGED] TO: partner@techcorp.com | TYPE: inquiry_submitted | SUBJECT: "Inquiry Received: System Check Inquiry - Liah Academy"
[2026-08-22T13:43:23.708Z] [LOGGED] TO: info@liahacademy.com | TYPE: admin_alert | SUBJECT: "📬 [Direct Inquiry] System Check Inquiry (from Corporate Partner Audit)"
[2026-08-22T13:48:24.853Z] [LOGGED] TO: nkengsteadfast@gmail.com | TYPE: application_submitted | SUBJECT: "Application Confirmation #8330 - Liah Academy"
[2026-08-22T13:48:24.870Z] [LOGGED] TO: info@liahacademy.com | TYPE: admin_alert | SUBJECT: "🚨 [New Application] #8330: james - Software Engineering HND"
[2026-08-22T13:54:34.039Z] [LOGGED] TO: student.audit.1787406873843@liahacademy.com | TYPE: application_submitted | SUBJECT: "Application Confirmation #9811 - Liah Academy"
[2026-08-22T13:54:34.063Z] [LOGGED] TO: info@liahacademy.com | TYPE: admin_alert | SUBJECT: "🚨 [New Application] #9811: Dr. Diagnostic Test - Software Engineering HND"
[2026-08-22T13:54:34.158Z] [LOGGED] TO: partner@techcorp.com | TYPE: inquiry_submitted | SUBJECT: "Inquiry Received: System Check Inquiry - Liah Academy"
[2026-08-22T13:54:34.186Z] [LOGGED] TO: info@liahacademy.com | TYPE: admin_alert | SUBJECT: "📬 [Direct Inquiry] System Check Inquiry (from Corporate Partner Audit)"
[2026-08-22T14:10:04.994Z] [LOGGED] TO: student.audit.1787407804687@liahacademy.com | TYPE: application_submitted | SUBJECT: "Application Confirmation #8973 - Liah Academy"
[2026-08-22T14:10:05.025Z] [LOGGED] TO: info@liahacademy.com | TYPE: admin_alert | SUBJECT: "🚨 [New Application] #8973: Dr. Diagnostic Test - Software Engineering HND"
